title,price,system,image_src,age_group
Sonic Origins,"€ 29,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_SonicOrigins_image500w.jpg,Under 15 Year Old
Barbie™ DreamHouse Adventures,"€ 39,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_BarbieDreamHouseAdventures_image500w.jpg,Under 15 Year Old
Crash™ Team Racing Nitro-Fueled,"€ 39,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_CrashTeamRacingNitroFueled_image500w.jpg,Under 15 Year Old
The Smurfs: Learn and Play,"€ 14,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_TheSmurfsLearnAndPlay_image500w.jpg,Under 15 Year Old
Cities: Skylines - Nintendo Switch™ Edition,"€ 39,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_CitySkylinesNintendoSwitchEdition_image500w.jpg,Under 15 Year Old
Heave Ho,"€ 9,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_HeaveHo_image500w.jpg,Under 15 Year Old
MONOPOLY for Nintendo Switch™ + MONOPOLY Madness,"€ 49,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_MonopolyForNintendoSwitchPlusMonopolyMadness_image500w.jpg,Under 15 Year Old
Overcooked! 2,"€ 16,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_Overcooked2_image500w.jpg,Under 15 Year Old
Train Driver Simulator,"€ 14,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_TrainDriverSimulator_image500w.jpg,Under 15 Year Old
Super Kirby Clash,"€ 0,00*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_SuperKirbyClash_image500w.jpg,Under 15 Year Old
GRID™ Autosport,"€ 34,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_GridAutosport_image500w.jpg,Under 15 Year Old
TETRIS 99,"€ 0,00*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_Tetris99_image500w.jpg,Under 15 Year Old
PAW Patrol World,"€ 39,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_PawPatrolWorld_enGB_image500w.jpg,Under 15 Year Old
Xtreme Club Racing,"€ 9,89",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_XtremeClubRacing_image500w.jpg,Under 15 Year Old
Speedway Heroes,"€ 6,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_SpeedwayHeroes_image500w.jpg,Under 15 Year Old
Football Run,"€ 9,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_FootballRun_image500w.jpg,Under 15 Year Old
ISLANDERS: Console Edition,"€ 4,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_IslandersConsoleEdition_image500w.jpg,Under 15 Year Old
Crash Drive 2,"€ 7,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_CrashDrive2_image500w.jpg,Under 15 Year Old
Tower Of Babel,"€ 6,20",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_TowerOfBabel_image500w.jpg,Under 15 Year Old
Marooners,"€ 12,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_Marooners_image500w.jpg,Under 15 Year Old
Brain Show,"€ 14,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_BrainShow_image500w.jpg,Under 15 Year Old
Strike! Ten Pin Bowling,"€ 10,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_StrikeTenPinBowling_image500w.jpg,Under 15 Year Old
Tennis World Tour,"€ 49,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_TennisWorldTour_image500w.jpg,Under 15 Year Old
Super Mario Bros.,None,Nintendo 3DS,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/virtual_console_nintendo_3ds_8/SQ_3DSVC_SuperMarioBros_image500w.jpg,Under 15 Year Old
Farming Simulator 23: Nintendo Switch™ Edition,"€ 44,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1X1_NSwitch_FarmingSimulator23NintendoSwitchEdition_image500w.jpg,Under 15 Year Old
Keep The Fire - Survival Simulator,"€ 8,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_KeepTheFireSurvivalSimulator_image500w.jpg,Under 15 Year Old
Classic Games Collection Vol.2,"€ 4,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_ClassicGamesCollectionVol2_image500w.jpg,Under 15 Year Old
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,"€ 14,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_DoraemonStoryOfSeasonsFriendsOfTheGreatKingdom_image500w.jpg,Under 15 Year Old
Terraformers,"€ 19,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_Terraformers_image500w.jpg,Under 15 Year Old
New Pokémon Snap,"€ 59,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_NewPokemonSnap_image500w.jpg,Under 15 Year Old
Georifters,"€ 31,90",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_Georifters_image500w.jpg,Under 15 Year Old
A Little to the Left,"€ 14,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_ALittleToTheLeft_image500w.jpg,Under 15 Year Old
MotoGP™22,"€ 39,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_MotoGP22_image500w.jpg,Under 15 Year Old
PlateUp!,"€ 19,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_PlateUp_image500w.jpg,Under 15 Year Old
Donkey Kong Country: Tropical Freeze,"€ 59,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_DonkeyKongCountryTropicalFreeze_image500w.jpg,Under 15 Year Old
Winter Games 2023,"€ 39,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_WinterGames2023_image500w.jpg,Under 15 Year Old
Spirittea,"€ 19,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_Spirittea_image500w.jpg,Under 15 Year Old
A Short Hike,"€ 6,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_AShortHike_image500w.jpg,Under 15 Year Old
Yoshi's Crafted World,"€ 59,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_YoshisCraftedWorld_image500w.jpg,Under 15 Year Old
Moonstone Island,None,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_MoonstoneIsland_image500w.jpg,Under 15 Year Old
Super Mario Maker 2,"€ 59,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_SuperMarioMaker2_image500w.jpg,Under 15 Year Old
New Super Lucky's Tale,"€ 29,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_NewSuperLuckysTale_image500w.jpg,Under 15 Year Old
Super Mario World,None,New Nintendo 3DS,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/super_nintendo_4/SQ_SNES_SuperMarioWorld_image500w.jpg,Under 15 Year Old
Flight Sim 2019,"€ 14,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_FlightSim2019_image500w.jpg,Under 15 Year Old
Nora: The Wannabe Alchemist,"€ 19,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_NoraTheWannabeAlchemist_image500w.jpg,Under 15 Year Old
Pikuniku,"€ 12,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_Pikuniku_image500w.jpg,Under 15 Year Old
SnowRunner,"€ 39,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_Snowrunner_image500w.jpg,Under 15 Year Old
"Little Kitty, Big City",None,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_LittleKittyBigCity_image500w.jpg,Under 15 Year Old
Puyo Puyo Tetris 2,"€ 39,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_PuyoPuyoTetris2_image500w.jpg,Under 15 Year Old
Sherlock Purr,"€ 19,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_SherlockPurr_image500w.jpg,Under 15 Year Old
Captain Toad: Treasure Tracker,"€ 39,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_CaptainToadTreasureTracker_image500w.jpg,Under 15 Year Old
Harvest Moon: The Winds of Anthos,"€ 49,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_HarvestMoonTheWindsOfAnthos_image500w.jpg,Under 15 Year Old
Minigolf Adventure,"€ 4,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_MinigolfAdventure_image500w.jpg,Under 15 Year Old
Overcooked! All You Can Eat,"€ 39,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_OvercookedAllYouCanEat_image500w.jpg,Under 15 Year Old
Pokémon HOME,"€ 0,00*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/smart_device_6/SQ_SmartDevice_PokemonHOME_image500w.jpg,Under 15 Year Old
Cozy Grove,"€ 13,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_CozyGrove_image500w.jpg,Under 15 Year Old
Big Brain Academy: Knappe koppen,"€ 29,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_BigBrainAcademyBrainVsBrain_nlNL_image500w.jpg,Under 15 Year Old
NBA 2K24 Kobe Bryant Edition,"€ 59,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitchDS_NBA2K24KobeBryantEdition_image500w.jpg,Under 15 Year Old
1912: Titanic Mystery,"€ 9,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_1912TitanicMystery_image500w.jpg,Under 15 Year Old
Taiko no Tatsujin: Rhythm Festival,"€ 49,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_TaikoNoTutsjinRhytmnFesitval_image500w.jpg,Under 15 Year Old
Lofi Ping Pong,"€ 3,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_LofiPingPong_image500w.jpg,Under 15 Year Old
RollerCoaster Tycoon Adventures Deluxe,"€ 39,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_RollerCoasterTycoonAdventuresDeluxe_image500w.jpg,Under 15 Year Old
Ooblets,"€ 29,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_Ooblets_image500w.jpg,Under 15 Year Old
Super Mario Bros. 3,None,Nintendo 3DS,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/virtual_console_wii_u_8/SQ_WiiUVC_SuperMarioBros3_image500w.jpg,Under 15 Year Old
ARK: Dinosaur Discovery,"€ 9,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_ArkDinosaurDiscovery_image500w.jpg,Under 15 Year Old
Boomerang Fu,"€ 14,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_BoomerangFu_image500w.jpg,Under 15 Year Old
SpongeBob: Krusty Cook-Off,"€ 12,49",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_SpongebobKrustyCookOff_EN_image500w.jpg,Under 15 Year Old
Wonder Boy: The Dragon's Trap,"€ 19,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_WonderBoyTheDragonsTrap_image500w.jpg,Under 15 Year Old
Monopoly for Nintendo Switch,"€ 39,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_MonopolyForNintendoSwitch_enGB_image500w.jpg,Under 15 Year Old
A Highland Song,"€ 15,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_AHighlandSong_image500w.jpg,Under 15 Year Old
Unpacking,"€ 19,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_Unpacking_image500w.jpg,Under 15 Year Old
Only Way Up! Parkour Jump Simulator,"€ 4,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_OnlyWayUpParkourJumpSimulator_image500w.jpg,Under 15 Year Old
CATAN® - Console Edition,"€ 19,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_CatanConsoleEdition_image500w.jpg,Under 15 Year Old
Fitness Circuit,"€ 49,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_FitnessCircuit_image500w.jpg,Under 15 Year Old
Florence,"€ 5,49",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_Florence_image500w.jpg,Under 15 Year Old
Tetris® Effect: Connected,"€ 39,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_TetrisEffectConnected_image500w.jpg,Under 15 Year Old
PAC-MAN 99,"€ 0,00*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_PacMan99_image500w.jpg,Under 15 Year Old
Under Leaves,"€ 12,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_UnderLeaves_image500w.jpg,Under 15 Year Old
RAINBOW HIGH™: RUNWAY RUSH,"€ 39,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_RainbowHighRunawayRush_GBen_image500w.jpg,Under 15 Year Old
ATOMIK: RunGunJumpGun,"€ 7,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_AtomikRunGunJumpGun_image500w.jpg,Under 15 Year Old
Snipperclips – Geknipt om samen te spelen!,"€ 19,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_Snipperclips_nlNL_image500w.jpg,Under 15 Year Old
Village Tycoon: Farm City Simulator,"€ 9,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_VillageTycoonFarmCitySimulator_image500w.jpg,Under 15 Year Old
Monster Truck Championship,"€ 39,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_MonsterTruckChampionship_image500w.jpg,Under 15 Year Old
STORY OF SEASONS: A Wonderful Life,"€ 39,99*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_StoryOfSeasonsAWonderfulLife_image500w.jpg,Under 15 Year Old
EA SPORTS FC™ 24,"€ 59,99",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_EaSportsFc24_image500w.jpg,Under 15 Year Old
Just Dance®,"€ 0,00*",Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_JustDance_V2_image500w.jpg,Under 15 Year Old
